package, guess, num_versions, num_parsed_versions, breaking_versions
FastxPipe, Unknown, 1, 0, 
FenwickTree, Unknown, 4, 1, 
FermatsLastMargin, Unknown, 1, 0, 
FerryCore, Unknown, 4, 2, 0.4.6.1
Feval, Unknown, 2, 0, 
FieldTrip, Unknown, 6, 2, 0.2.2, 0.2.4
FileManip, Unknown, 7, 4, 
FileManipCompat, PVP, 9, 6, 0.14
FilePather, PVP, 12, 9, 0.1.0, 0.1.6
FileSystem, Unknown, 1, 0, 
Files, Unknown, 3, 2, 0.1.1.0
Finance-Quote-Yahoo, PVP, 9, 3, 0.5.0
Finance-Treasury, Unknown, 3, 0, 
FindBin, Unknown, 5, 0, 
FiniteMap, Unknown, 1, 0, 
FirstOrderTheory, Unknown, 2, 1, 
FixedPoint-simple, Unknown, 11, 1, 
Flippi, Unknown, 3, 0, 
Focus, Unknown, 3, 2, 
Folly, Unknown, 15, 5, 0.1.5.0, 0.2.0.1
FontyFruity, Unknown, 17, 2, 
ForSyDe, Unknown, 3, 0, 
ForestStructures, Unknown, 1, 0, 
ForkableT, Unknown, 3, 1, 
FormalGrammars, Unknown, 7, 0, 
Foster, Unknown, 4, 0, 
FpMLv53, Unknown, 1, 0, 
FractalArt, Unknown, 4, 0, 
Fractaler, Unknown, 1, 0, 
Frames, Unknown, 10, 4, 0.1.1.0, 0.1.1.1
Frank, Unknown, 4, 0, 
FreeTypeGL, Unknown, 4, 0, 
FunGEn, PVP, 12, 9, 0.3, 0.4, 0.4.1, 0.4.2, 1.0, 1.0.1
Fungi, Unknown, 7, 0, 
GA, PVP, 3, 2, 0.2, 1.0
GGg, Unknown, 3, 0, 
GHood, Unknown, 6, 5, 0.0.3, 0.0.5, 0.0.6
GLFW, PVP, 13, 6, 0.3, 0.4.1, 0.4.2, 0.5.1.0, 0.5.2.5
GLFW-OGL, Unknown, 1, 0, 
GLFW-b, SemVer, 38, 24, 0.0.2.9, 1.0.0
GLFW-b-demo, Unknown, 12, 0, 
GLFW-task, Unknown, 3, 0, 
GLHUI, Unknown, 2, 1, 
GLM, Unknown, 3, 0, 
GLMatrix, Unknown, 2, 0, 
GLURaw, PVP, 16, 15, 1.1.0.0, 1.5.0.0, 2.0.0.0
